,Address,Inspection Date,Inspection Level,Assessment software,Assessorâ€™s declaration,F-Gas compliant date,Total effective rated output,System sampling,Treated floor area,Subsystems metered,Total estimated refrigerant charge,Hyperlink
https://find-energy-certificate.service.gov.uk/energy-certificate/0260-8980-0673-8290-3060,Lovells 21 Holborn Viaduct LONDON EC1A 2AT,22 June 2017,Level 4,"CLG, ACReport, v2.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,14 July 2017,775 kW,Yes,5570 square metres,No,38 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0260-8980-0673-8290-3060
https://find-energy-certificate.service.gov.uk/energy-certificate/9587-6061-0079-0900-7401,Tesco 21 Holborn Viaduct LONDON EC1A 2AT,3 September 2013,Level 3,"Sterling Accreditation, Sterling e-Volve, v1.2",Contracted by the owner to provide other (non-Energy Assessment) services.,Not Provided,13 kW,No,254 square metres,No,9 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/9587-6061-0079-0900-7401
https://find-energy-certificate.service.gov.uk/energy-certificate/0450-0968-8099-7692-4002,NA,14 February 2018,Level 3,"Sterling Accreditation, Sterling e-Volve, v1.2",Contracted by the owner to provide other Energy Assessment services.,Not Provided,23 kW,Yes,217 square metres,No,9 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0450-0968-8099-7692-4002
https://find-energy-certificate.service.gov.uk/energy-certificate/9200-5969-0648-4550-3064,NA,25 October 2018,Level 4,"Sterling Accreditation, Sterling e-Volve, v1.2",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,Not Provided,170 kW,Yes,1879 square metres,No,108 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/9200-5969-0648-4550-3064
https://find-energy-certificate.service.gov.uk/energy-certificate/9700-1930-0638-2960-8034,NA,31 October 2018,Level 4,"CLG, ACReport, v2.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,6 July 2018,2840 kW,Yes,21600 square metres,No,644 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/9700-1930-0638-2960-8034
https://find-energy-certificate.service.gov.uk/energy-certificate/0930-0163-9429-9126-8002,"Hogan Lovells International Llp Atlantic House, 50 Holborn Viaduct LONDON EC1A 2FG",21 June 2017,Level 4,"CLG, ACReport, v2.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,14 July 2017,4080 kW,Yes,24150 square metres,No,260 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0930-0163-9429-9126-8002
https://find-energy-certificate.service.gov.uk/energy-certificate/0990-6941-0626-1820-1034,NA,18 January 2016,Level 4,"CLG, ACReport, v2.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,3 November 2015,12044 kW,No,78000 square metres,No,2400 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0990-6941-0626-1820-1034
https://find-energy-certificate.service.gov.uk/energy-certificate/9362-6076-0239-0400-0521,Fidelity Management & Research 1 St. Martin's le Grand LONDON EC1A 4AS,20 June 2017,Level 3,"Sterling Accreditation, Sterling e-Volve, v1.2",Contracted by the owner to provide air conditioning maintenance services.,17 June 2017,67 kW,No,350 square metres,No,44 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/9362-6076-0239-0400-0521
https://find-energy-certificate.service.gov.uk/energy-certificate/7423-9088-3565-3008-4933,NA,17 August 2021,Level 4,"Quidos, AIRS, v2.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,Not Provided,7020 kW,Yes,25000 square metres,No,2386 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/7423-9088-3565-3008-4933
https://find-energy-certificate.service.gov.uk/energy-certificate/0694-9656-9760-2800-2103,NA,12 May 2019,Level 4,"Sterling Accreditation, Sterling e-Volve, v1.2",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,29 January 2019,984 kW,Yes,5310 square metres,Yes,262 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0694-9656-9760-2800-2103
https://find-energy-certificate.service.gov.uk/energy-certificate/9200-2986-0694-6670-6040,NA,26 October 2014,Level 4,"Sterling Accreditation, Sterling e-Volve, v1.2",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,4 August 2014,948 kW,Yes,5310 square metres,In part,376 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/9200-2986-0694-6670-6040
https://find-energy-certificate.service.gov.uk/energy-certificate/0694-9656-9760-9800-2103,NA,11 May 2019,Level 4,"Sterling Accreditation, Sterling e-Volve, v1.2",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,29 January 2019,984 kW,Yes,5310 square metres,Yes,262 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0694-9656-9760-9800-2103
https://find-energy-certificate.service.gov.uk/energy-certificate/0596-2630-6160-0600-6303,NA,20 July 2017,Level 4,"Sterling Accreditation, Sterling e-Volve, v1.2",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,Not Provided,5161 kW,Yes,44068 square metres,In part,1170 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0596-2630-6160-0600-6303
https://find-energy-certificate.service.gov.uk/energy-certificate/0580-0360-1682-9802-4006,NA,5 February 2020,Level 3,"CLG, ACReport, v2.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,Not Provided,54 kW,Yes,190 square metres,No,20 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0580-0360-1682-9802-4006
https://find-energy-certificate.service.gov.uk/energy-certificate/0846-5462-9002-0893-0602,NA,18 July 2022,Level 4,"Sterling Accreditation, Sterling e-Volve, v1.2",Related to the person who has technical control of the system or subcontractor.,Not Provided,5284 kW,Yes,44068 square metres,In part,1752 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0846-5462-9002-0893-0602
https://find-energy-certificate.service.gov.uk/energy-certificate/2470-6412-7090-5496-0095,NA,10 December 2021,Level 4,"Sterling Accreditation, Sterling e-Volve, v1.2",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,Not Provided,475 kW,Yes,3794 square metres,Yes,61 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/2470-6412-7090-5496-0095
https://find-energy-certificate.service.gov.uk/energy-certificate/3011-4262-2002-0920-2396,NA,20 October 2022,Level 4,"Quidos, AIRS, v2.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,4 July 2023,2503 kW,Yes,17278 square metres,In part,445 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/3011-4262-2002-0920-2396
https://find-energy-certificate.service.gov.uk/energy-certificate/1705-6562-0002-0509-9396,NA,3 November 2022,Level 3,"Quidos, AIRS, v2.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,20 November 2024,63 kW,No,259 square metres,No,35 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/1705-6562-0002-0509-9396
https://find-energy-certificate.service.gov.uk/energy-certificate/9859-6062-0256-0691-1301,LAND SECURITIES 140 Aldersgate Street LONDON EC1A 4HY,9 December 2015,Level 4,"Sterling Accreditation, Sterling e-Volve, v1.2",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,7 December 2015,1504 kW,No,6536 square metres,No,335 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/9859-6062-0256-0691-1301
https://find-energy-certificate.service.gov.uk/energy-certificate/0850-0261-0279-1327-5002,NA,28 March 2019,Level 4,"CLG, ACReport, v2.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,Not Provided,25 kW,Yes,65 square metres,No,6 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0850-0261-0279-1327-5002
https://find-energy-certificate.service.gov.uk/energy-certificate/0930-8919-0686-5740-8010,Aldersgate House 135-137 Aldersgate Street LONDON EC1A 4JA,13 July 2016,Level 4,"Sterling Accreditation, Sterling e-Volve, v1.2",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,8 January 2016,226 kW,Yes,1593 square metres,No,57 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0930-8919-0686-5740-8010
https://find-energy-certificate.service.gov.uk/energy-certificate/2368-2604-6533-6008-8190,NA,27 October 2021,Level 4,"ACE Wizard, V1.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,14 September 2021,227 kW,Yes,1460 square metres,No,57 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/2368-2604-6533-6008-8190
https://find-energy-certificate.service.gov.uk/energy-certificate/0283-4200-5609-4580-3804,NA,25 August 2021,Level 3,"Sterling Accreditation, Sterling e-Volve, v1.2",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,Not Provided,8 kW,No,23 square metres,No,3 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0283-4200-5609-4580-3804
https://find-energy-certificate.service.gov.uk/energy-certificate/1976-8317-7568-9356-6001,NA,2 February 2022,Level 4,"ACE Wizard, V1.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,Not Provided,382 kW,Yes,3351 square metres,No,112 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/1976-8317-7568-9356-6001
https://find-energy-certificate.service.gov.uk/energy-certificate/3077-9966-9820-8024-7725,NA,2 February 2022,Level 4,"ACE Wizard, V1.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,Not Provided,169 kW,Yes,1330 square metres,No,47 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/3077-9966-9820-8024-7725
https://find-energy-certificate.service.gov.uk/energy-certificate/0080-1991-0648-2963-8074,NA,1 August 2018,Level 4,"CLG, ACReport, v2.0",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,4 July 2018,67 kW,Yes,475 square metres,No,41 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0080-1991-0648-2963-8074
https://find-energy-certificate.service.gov.uk/energy-certificate/0910-9990-0657-8140-4094,Tesco 131 Aldersgate Street LONDON EC1A 4JQ,19 September 2013,Level 3,"Sterling Accreditation, Sterling e-Volve, v1.2",Contracted by the owner to provide other (non-Energy Assessment) services.,Not Provided,23 kW,No,198 square metres,No,9 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0910-9990-0657-8140-4094
https://find-energy-certificate.service.gov.uk/energy-certificate/0490-0468-8959-9492-0002,NA,14 February 2018,Level 3,"Sterling Accreditation, Sterling e-Volve, v1.2",Contracted by the owner to provide other Energy Assessment services.,Not Provided,28 kW,No,188 square metres,No,9 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0490-0468-8959-9492-0002
https://find-energy-certificate.service.gov.uk/energy-certificate/0942-7169-9002-0226-0306,NA,21 June 2021,Level 4,"Sterling Accreditation, Sterling e-Volve, v1.2",Not related to the owner/occupier or person who has technical control of the system or subcontractor.,Not Provided,462 kW,Yes,3800 square metres,No,76 kg,https://find-energy-certificate.service.gov.uk/energy-certificate/0942-7169-9002-0226-0306
